base 2022.06-1
bash 5.3.015-1
bash-completion 2.17.0-2
brotli 1.2.0-1
bsdtar 3.8.7-1
bzip2 1.0.8-4
ca-certificates 20250419-1
coreutils 8.32-5
curl 8.20.0-1
dash 0.5.13.4-1
db 6.2.32-6
file 5.48-1
filesystem 2026.03.06-1
findutils 4.10.0-2
gawk 5.4.0-1
gcc-libs 15.2.0-1
gdbm 1.26-1
getent 2.18.90-6
gettext 0.22.5-1
gmp 6.3.0-2
gnupg 2.4.9-1
grep 1~3.0-7
gzip 1.14-2
inetutils 2.7-1
info 7.2-3
less 704-1
libargp 20260115-1
libasprintf 0.22.5-1
libassuan 3.0.2-1
libbz2 1.0.8-4
libcurl 8.20.0-1
libdb 6.2.32-6
libexpat 2.8.1-1
libffi 3.5.2-1
libgcrypt 1.12.2-1
libgdbm 1.26-1
libgettextpo 0.22.5-1
libgnutls 3.8.13-1
libgpg-error 1.61-1
libhogweed 3.10.2-1
libiconv 1.19-1
libidn2 2.3.8-1
libintl 0.22.5-1
libksba 1.8.0-1
liblz4 1.10.0-1
liblzma 5.8.3-1
libnettle 3.10.2-1
libnghttp2 1.69.0-1
libnghttp3 1.16.0-1
libngtcp2 1.23.0-1
libnpth 1.8-1
libopenssl 3.6.3-1
libp11-kit 0.26.2-1
libpcre 8.45-5
libpcre2_8 10.47-1
libpsl 0.21.5-2
libreadline 8.3.003-1
libsqlite 3.53.2-1
libssh2 1.11.1-1
libtasn1 4.21.0-1
libunistring 1.4.2-1
libutil-linux 2.40.2-2
libxcrypt 4.5.2-1
libzstd 1.5.7-1
mingw-w64-ucrt-x86_64-binutils 2.47-3
mingw-w64-ucrt-x86_64-brotli 1.2.0-1
mingw-w64-ucrt-x86_64-bzip2 1.0.8-4
mingw-w64-ucrt-x86_64-c-ares 1.34.8-1
mingw-w64-ucrt-x86_64-ca-certificates 20260816-1
mingw-w64-ucrt-x86_64-cmake 4.4.3-2
mingw-w64-ucrt-x86_64-cppdap 1.65.r11.g6464cd7-1
mingw-w64-ucrt-x86_64-crt 14.0.0.r375.g9c1abbbf5-1
mingw-w64-ucrt-x86_64-curl 8.22.0-1
mingw-w64-ucrt-x86_64-dbus 1.16.2-4
mingw-w64-ucrt-x86_64-double-conversion 3.4.0-1
mingw-w64-ucrt-x86_64-expat 2.8.4-2
mingw-w64-ucrt-x86_64-freetype 2.14.3-1
mingw-w64-ucrt-x86_64-gcc 16.2.0-3
mingw-w64-ucrt-x86_64-gcc-fortran 16.2.0-3
mingw-w64-ucrt-x86_64-gcc-libgfortran 16.2.0-3
mingw-w64-ucrt-x86_64-gcc-libs 16.2.0-3
mingw-w64-ucrt-x86_64-gettext-runtime 1.0-1
mingw-w64-ucrt-x86_64-glib2 2.90.0-1
mingw-w64-ucrt-x86_64-gmp 6.3.0-2
mingw-w64-ucrt-x86_64-gnutls 3.8.13-3
mingw-w64-ucrt-x86_64-graphite2 1.3.15-1
mingw-w64-ucrt-x86_64-harfbuzz 14.4.0-1
mingw-w64-ucrt-x86_64-headers 14.0.0.r375.g9c1abbbf5-1
mingw-w64-ucrt-x86_64-icu 78.3-4
mingw-w64-ucrt-x86_64-isl 0.28-1
mingw-w64-ucrt-x86_64-jsoncpp 1.9.8-1
mingw-w64-ucrt-x86_64-libarchive 3.8.9-6
mingw-w64-ucrt-x86_64-libb2 0.98.1-3
mingw-w64-ucrt-x86_64-libffi 3.8.0-1
mingw-w64-ucrt-x86_64-libiconv 1.19-1
mingw-w64-ucrt-x86_64-libidn2 2.3.8-4
mingw-w64-ucrt-x86_64-libjpeg-turbo 3.2.0-1
mingw-w64-ucrt-x86_64-libpng 1.6.58-1
mingw-w64-ucrt-x86_64-libpsl 0.21.5-3
mingw-w64-ucrt-x86_64-libssh2 1.11.1-2
mingw-w64-ucrt-x86_64-libsystre 1.0.2-3
mingw-w64-ucrt-x86_64-libtasn1 4.21.0-1
mingw-w64-ucrt-x86_64-libtre 0.9.0-2
mingw-w64-ucrt-x86_64-libunistring 1.4.2-1
mingw-w64-ucrt-x86_64-libuv 1.52.1-1
mingw-w64-ucrt-x86_64-libwinpthread 14.0.0.r375.g9c1abbbf5-1
mingw-w64-ucrt-x86_64-lz4 1.10.0-1
mingw-w64-ucrt-x86_64-md4c 0.5.3-1
mingw-w64-ucrt-x86_64-mpc 1.4.1-1
mingw-w64-ucrt-x86_64-mpdecimal 4.0.1-3
mingw-w64-ucrt-x86_64-mpfr 4.2.2-3
mingw-w64-ucrt-x86_64-ncurses 6.6-4
mingw-w64-ucrt-x86_64-nettle 4.0-1
mingw-w64-ucrt-x86_64-nghttp2 1.70.0-1
mingw-w64-ucrt-x86_64-nghttp3 1.18.0-1
mingw-w64-ucrt-x86_64-ngtcp2 1.25.0-1
mingw-w64-ucrt-x86_64-ninja 1.13.2-1
mingw-w64-ucrt-x86_64-openssl 3.6.4-1
mingw-w64-ucrt-x86_64-p11-kit 0.26.5-1
mingw-w64-ucrt-x86_64-pcre2 10.48-3
mingw-w64-ucrt-x86_64-pkgconf 1~3.0.7-1
mingw-w64-ucrt-x86_64-python 3.14.7-1
mingw-w64-ucrt-x86_64-python-packaging 26.3-1
mingw-w64-ucrt-x86_64-qt6-base 6.11.2-2
mingw-w64-ucrt-x86_64-rhash 1.4.6-1
mingw-w64-ucrt-x86_64-sqlite3 3.53.4-1
mingw-w64-ucrt-x86_64-tcl 8.6.18-1
mingw-w64-ucrt-x86_64-tk 8.6.18-1
mingw-w64-ucrt-x86_64-tzdata 2026d-1
mingw-w64-ucrt-x86_64-vulkan-headers 1~1.4.357.0-1
mingw-w64-ucrt-x86_64-vulkan-loader 1~1.4.357.0-1
mingw-w64-ucrt-x86_64-windows-default-manifest 20260815-1
mingw-w64-ucrt-x86_64-wineditline 2.208-1
mingw-w64-ucrt-x86_64-winpthreads 14.0.0.r375.g9c1abbbf5-1
mingw-w64-ucrt-x86_64-xz 5.8.4-1
mingw-w64-ucrt-x86_64-zlib 1.3.2-2
mingw-w64-ucrt-x86_64-zstd 1.5.7-2
mintty 1~3.8.3-1
mpfr 4.2.2-1
msys2-keyring 1~20260214-1
msys2-launcher 1.5-3
msys2-runtime 3.6.9-2
nano 9.0-1
ncurses 6.6-2
nettle 3.10.2-1
openssl 3.6.3-1
p11-kit 0.26.2-1
pacman 6.1.0-25
pacman-contrib 1.10.6-1
pacman-mirrors 20260129-1
perl 5.42.2-1
pinentry 1.3.2-1
rebase 4.5.0-5
sed 4.9-1
tar 1.35-3
time 1.10-1
tzcode 2026b-1
util-linux 2.40.2-2
wget 1.25.0-1
which 2.25-1
xz 5.8.3-1
zlib 1.3.2-1
zstd 1.5.7-1
